Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header,release time,article content,formatteddate,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-12-03 09:03:00,66.96,67.0,66.88,66.9,2702.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:04:00,67.02,67.28,67.02,67.2,3454.0,0.2400000000000091,1,752.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:05:00,67.18,67.18,67.12,67.12,400.0,0.10000000000000853,1,-3054.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:06:00,67.08,67.1,67.04,67.04,744.0,-0.14000000000000054,0,344.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:07:00,67.02,67.02,67.0,67.0,230.0,-0.0799999999999983,0,-514.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:08:00,67.02,67.02,67.0,67.0,192.0,-0.019999999999996017,0,-38.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:09:00,67.02,67.02,67.02,67.02,61.0,0.0,0,-131.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:10:00,67.06,67.06,67.04,67.06,665.0,0.04000000000000625,1,604.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:11:00,67.14,67.18,67.14,67.16,224.0,0.09999999999999433,1,-441.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:12:00,67.22,67.22,67.22,67.22,78.0,0.0799999999999983,1,-146.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:13:00,67.18,67.2,67.16,67.2,268.0,-0.019999999999996017,0,190.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:14:00,67.18,67.22,67.14,67.22,465.0,0.039999999999992035,1,197.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:15:00,67.26,67.28,67.16,67.18,754.0,0.0,0,289.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:16:00,67.2,67.24,67.2,67.22,428.0,-0.04000000000000625,0,-326.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:18:00,67.2,67.2,67.18,67.2,623.0,0.0,0,195.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:20:00,67.24,67.26,67.22,67.26,461.0,0.060000000000002274,1,-162.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:21:00,67.22,67.22,67.22,67.22,8.0,-0.019999999999996017,0,-453.0,0,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:22:00,67.28,67.28,67.28,67.28,104.0,0.060000000000002274,1,96.0,1,,,,,,,,,,,,,,,,,,,,,
2019-12-03 09:23:00,67.28,67.3,67.28,67.3,473.0,0.019999999999996017,1,369.0,1,,,,,,,,,,,,,,,,,,,,,
